================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 61306.69 μs
    Duration: 61306.69 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 18581.45           |
  | 1     | 18581.45           | 23328.69           |
  | 2     | 23328.69           | 28075.94           |
  | 3     | 28075.94           | 32823.19           |
  | 4     | 32823.19           | 37570.44           |
  | 5     | 37570.44           | 42317.69           |
  | 6     | 42317.69           | 47064.94           |
  | 7     | 47064.94           | 51812.19           |
  | 8     | 51812.19           | 56559.44           |
  | 9     | 56559.44           | 61306.69           |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | Input | Compute (μs)      | Activation Communication (μs) | Weight Loading (μs) | Total (μs)        |
  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | 0     | 210.32            | 4536.93                       | 13834.20            | 18581.45          |
  | 1     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 5     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 24    | 5.51                 | 47.28                        |
  | 2     | 25    | 4.59                 | 15.76                        |
  | 2     | 26    | 0.46                 | -1                           |
  | 2     | 27    | 0.46                 | 47.28                        |
  | 2     | 28    | 1.84                 | 44.12                        |
  | 2     | 29    | 5.51                 | 177.56                       |
  | 2     | 30    | 5.51                 | 47.28                        |
  | 2     | 31    | 4.59                 | 15.76                        |
  | 2     | 32    | 0.46                 | -1                           |
  | 2     | 33    | 0.46                 | 47.28                        |
  | 2     | 34    | 1.84                 | 44.12                        |
  | 2     | 35    | 5.51                 | 177.56                       |
  | 2     | 36    | 5.51                 | 47.28                        |
  | 2     | 37    | 4.59                 | 137.90                       |
  | 2     | 38    | 0.46                 | 12.12                        |
  | 2     | 39    | 0.46                 | 28.89                        |
  | 2     | 40    | 1.84                 | 47.28                        |
  | 2     | 41    | 2.75                 | 204.88                       |
  | 2     | 42    | 2.75                 | 39.40                        |
  | 2     | 43    | 4.59                 | -1                           |
  | 2     | 44    | 0.46                 | -1                           |
  | 2     | 45    | 0.46                 | 47.28                        |
  | 2     | 46    | 1.84                 | 45.96                        |
  | 2     | 47    | 4.59                 | 309.59                       |
  | 2     | 48    | 5.51                 | 44.39                        |
  | 2     | 49    | 4.59                 | -1                           |
  | 2     | 50    | 0.46                 | -1                           |
  | 2     | 51    | 0.46                 | 47.28                        |
  | 2     | 52    | 1.84                 | 46.49                        |
  | 2     | 53    | 4.59                 | 312.04                       |
  | 2     | 54    | 5.51                 | 45.17                        |
  | 2     | 55    | 4.59                 | -1                           |
  | 2     | 56    | 0.46                 | -1                           |
  | 2     | 57    | 0.46                 | 47.28                        |
  | 2     | 58    | 1.84                 | 46.49                        |
  | 2     | 59    | 4.59                 | 174.41                       |
  | 2     | 60    | 5.51                 | 47.28                        |
  | 2     | 61    | 4.59                 | 15.76                        |
  | 2     | 62    | 0.46                 | -1                           |
  | 2     | 63    | 0.46                 | 47.28                        |
  | 2     | 64    | 1.84                 | 44.12                        |
  | 2     | 65    | 5.51                 | 177.56                       |
  | 2     | 66    | 5.51                 | 47.28                        |
  | 2     | 67    | 4.59                 | 15.76                        |
  | 2     | 68    | 0.46                 | -1                           |
  | 2     | 69    | 0.46                 | 47.28                        |
  | 2     | 70    | 1.84                 | 44.12                        |
  | 2     | 71    | 5.51                 | 177.56                       |
  | 2     | 72    | 5.51                 | 47.28                        |
  | 2     | 73    | 0.01                 | -1                           |
  | 3     | 0     | 1.83                 | -1                           |
  | 3     | 1     | 4.59                 | 141.84                       |
  | 3     | 2     | 0.46                 | 12.12                        |
  | 3     | 3     | 0.46                 | 2.62                         |
  | 3     | 4     | 1.84                 | 47.28                        |
  | 3     | 5     | 2.75                 | 155.49                       |
  | 3     | 6     | 5.51                 | 47.28                        |
  | 3     | 7     | 4.59                 | 15.76                        |
  | 3     | 8     | 0.46                 | -1                           |
  | 3     | 9     | 0.46                 | 47.28                        |
